"City","Long","Lat","year","month","pr","tmax","tmin"
"Lincoln",-96.7026,40.8137,"2016","06",27.6900005340576,32.0190010070801,18.6149997711182
"Lincoln",-96.7026,40.8137,"2016","07",123.041999816895,30.5400009155273,19.1270008087158
"Lincoln",-96.7026,40.8137,"2016","08",123.776000976562,29.5520000457764,17.9440002441406
"Lincoln",-96.7026,40.8137,"2016","09",80.1999969482422,27.4169998168945,14.1330003738403
"Lincoln",-96.7026,40.8137,"2016","10",38.4930000305176,21.5520000457764,6.41099977493286
"Lincoln",-96.7026,40.8137,"2016","11",19.8819999694824,15.3730001449585,1.06700003147125
"Lincoln",-96.7026,40.8137,"2016","12",34.3339996337891,2.51500010490417,-9.3120002746582
"Albuquerque",-106.6504,35.0844,"2016","01",10.8999996185303,9.28400039672852,-5.82399988174438
"Albuquerque",-106.6504,35.0844,"2016","02",2.51500010490417,16.2490005493164,-3.29399991035461
"Albuquerque",-106.6504,35.0844,"2016","03",0,20.8929996490479,0.524999976158142
"Albuquerque",-106.6504,35.0844,"2016","04",14.3000001907349,21.2070007324219,4.61899995803833
"Albuquerque",-106.6504,35.0844,"2016","05",4.2979998588562,25.0370006561279,8.31900024414062
"Albuquerque",-106.6504,35.0844,"2016","06",14.1319999694824,34.1720008850098,15.8369998931885
"Albuquerque",-106.6504,35.0844,"2016","07",38.4529991149902,35.681999206543,17.9169998168945
"Albuquerque",-106.6504,35.0844,"2016","08",36.9790000915527,30.6889991760254,15.6370000839233
"Albuquerque",-106.6504,35.0844,"2016","09",33.7919998168945,29.0729999542236,12.0799999237061
"Albuquerque",-106.6504,35.0844,"2016","10",18.3379993438721,25.2810001373291,6.80499982833862
"Albuquerque",-106.6504,35.0844,"2016","11",23.3850002288818,16.863000869751,1.40900003910065
"Albuquerque",-106.6504,35.0844,"2016","12",15.5089998245239,10.664999961853,-3.81399989128113
"Seattle",-122.3328,47.6061,"2016","01",193.837997436523,9.04100036621094,3.28999996185303
"Seattle",-122.3328,47.6061,"2016","02",113.684997558594,11.8529996871948,5.34999990463257
"Seattle",-122.3328,47.6061,"2016","03",150.050003051758,12.7679996490479,5.45699977874756
"Seattle",-122.3328,47.6061,"2016","04",37.9109992980957,18.4169998168945,8.01799964904785
"Seattle",-122.3328,47.6061,"2016","05",38.4799995422363,19.6200008392334,9.80599975585938
"Seattle",-122.3328,47.6061,"2016","06",45.1879997253418,22.1830005645752,11.4779996871948
"Seattle",-122.3328,47.6061,"2016","07",16.4169998168945,23.7049999237061,13.8109998703003
"Seattle",-122.3328,47.6061,"2016","08",2.70600008964539,25.6040000915527,13.6339998245239
"Seattle",-122.3328,47.6061,"2016","09",34.125,20.5410003662109,11.3640003204346
"Seattle",-122.3328,47.6061,"2016","10",254.386993408203,15.9689998626709,9.38399982452393
"Seattle",-122.3328,47.6061,"2016","11",199.315002441406,13.3299999237061,7.73899984359741
"Seattle",-122.3328,47.6061,"2016","12",92.6029968261719,5.72800016403198,1.47699999809265
"Orlando",-81.3789,28.5384,"2017","01",57.984001159668,23.8339996337891,12.3129997253418
"Orlando",-81.3789,28.5384,"2017","02",26.0839996337891,25.5279998779297,13.4200000762939
"Orlando",-81.3789,28.5384,"2017","03",6.16800022125244,26.2700004577637,14.3039999008179
"Orlando",-81.3789,28.5384,"2017","04",8.57999992370605,29.9080009460449,17.4799995422363
"Orlando",-81.3789,28.5384,"2017","05",85.875,32.2249984741211,20.3540000915527
"Orlando",-81.3789,28.5384,"2017","06",305.820007324219,31.7800006866455,22.943000793457
"Orlando",-81.3789,28.5384,"2017","07",316.029998779297,33.4669990539551,23.6669998168945
"Orlando",-81.3789,28.5384,"2017","08",140.151000976562,33.0060005187988,24.4009990692139
"Orlando",-81.3789,28.5384,"2017","09",331.613006591797,32.1609992980957,23.371000289917
"Orlando",-81.3789,28.5384,"2017","10",77.9329986572266,29.1060009002686,20.5520000457764
"Orlando",-81.3789,28.5384,"2017","11",9.19799995422363,26.4379997253418,16.3950004577637
"Orlando",-81.3789,28.5384,"2017","12",12.7360000610352,23.9069995880127,12.9040002822876
"StateCollege",-77.86,40.7934,"2017","01",78.7040023803711,2.93799996376038,-3.3840000629425
"StateCollege",-77.86,40.7934,"2017","02",50.7350006103516,7.78999996185303,-2.69400000572205
"StateCollege",-77.86,40.7934,"2017","03",85.8420028686523,6.77500009536743,-3.12700009346008
"StateCollege",-77.86,40.7934,"2017","04",108.454002380371,18.05299949646,7.10400009155273
"StateCollege",-77.86,40.7934,"2017","05",166.246994018555,18.9230003356934,9.82800006866455
"StateCollege",-77.86,40.7934,"2017","06",94.1719970703125,24.9449996948242,14.9589996337891
"StateCollege",-77.86,40.7934,"2017","07",127.263000488281,27.2390003204346,17.5200004577637
"StateCollege",-77.86,40.7934,"2017","08",66.2279968261719,25.1410007476807,14.8210000991821
"StateCollege",-77.86,40.7934,"2017","09",42.1419982910156,23.4529991149902,12.0369997024536
"StateCollege",-77.86,40.7934,"2017","10",158.643997192383,18.9150009155273,8.40499973297119
"StateCollege",-77.86,40.7934,"2017","11",56.5,8.35999965667725,-0.875
"StateCollege",-77.86,40.7934,"2017","12",30.8439998626709,1.63999998569489,-5.53000020980835
"Burlington",-73.2121,44.4759,"2017","01",52.6599998474121,1.91700005531311,-5.10699987411499
"Burlington",-73.2121,44.4759,"2017","02",80.2429962158203,2.64199995994568,-6.125
"Burlington",-73.2121,44.4759,"2017","03",80.6039962768555,1.54100000858307,-7.12599992752075
"Burlington",-73.2121,44.4759,"2017","04",97.9860000610352,14.3690004348755,4.92799997329712
"Burlington",-73.2121,44.4759,"2017","05",117.722999572754,18.1620006561279,9.03299999237061
"Burlington",-73.2121,44.4759,"2017","06",219.917007446289,24.201000213623,14.4750003814697
"Burlington",-73.2121,44.4759,"2017","07",97.234001159668,25.82200050354,16.8020000457764
"Burlington",-73.2121,44.4759,"2017","08",66.1110000610352,26.7189998626709,15.5100002288818
"Burlington",-73.2121,44.4759,"2017","09",73.6620025634766,24.5189990997314,13.3800001144409
"Burlington",-73.2121,44.4759,"2017","10",93.7360000610352,19.7150001525879,9.62100028991699
"Burlington",-73.2121,44.4759,"2017","11",37.3409996032715,7.61199998855591,-1.27699995040894
"Burlington",-73.2121,44.4759,"2017","12",56.3549995422363,-1.07099997997284,-8.88099956512451
"Lincoln",-96.7026,40.8137,"2017","01",31.9109992980957,1.36600005626678,-7.47700023651123
"Lincoln",-96.7026,40.8137,"2017","02",17.1469993591309,10.3179998397827,-4.21099996566772
"Lincoln",-96.7026,40.8137,"2017","03",47.056999206543,12.1730003356934,-0.560999989509583
"Lincoln",-96.7026,40.8137,"2017","04",59.7560005187988,17.8369998931885,5.05700016021729
"Lincoln",-96.7026,40.8137,"2017","05",192.751007080078,23.0230007171631,9.68599987030029
"Lincoln",-96.7026,40.8137,"2017","06",211.147994995117,30.6009998321533,16.5459995269775
"Lincoln",-96.7026,40.8137,"2017","07",127.81600189209,31.5170001983643,19.5200004577637
"Lincoln",-96.7026,40.8137,"2017","08",85.3000030517578,27.701000213623,15.201000213623
"Lincoln",-96.7026,40.8137,"2017","09",81.2269973754883,27.8570003509521,13.4729995727539
"Lincoln",-96.7026,40.8137,"2017","10",130.539001464844,19.8419990539551,6.17399978637695
"Lincoln",-96.7026,40.8137,"2017","11",4.17999982833862,11.5229997634888,-2.89100003242493
"Lincoln",-96.7026,40.8137,"2017","12",11.0679998397827,4.52699995040894,-8.32499980926514
"Albuquerque",-106.6504,35.0844,"2017","01",36.148998260498,10.3120002746582,-2.75399994850159
